continent,location,population,total_deaths,total_cases,total_deaths_percent,total_cases_percent
North America,United States,338289856,1118073,103124644,0.3305,30.4841
Asia,India,1417173120,523388,44689521,0.0369,3.1534
Europe,France,67813000,165237,40083780,0.2437,59.1093
Europe,Germany,83369840,167396,38018111,0.2008,45.6018
South America,Brazil,215313504,698176,36883663,0.3243,17.1302
Asia,Japan,123951696,71755,33120092,0.0579,26.7202
Asia,South Korea,51815808,33873,30445774,0.0654,58.7577
Europe,Italy,59037472,187881,25547562,0.3182,43.2735
Europe,United Kingdom,67508936,217801,23505403,0.3226,34.8182
Europe,Russia,144713312,387861,21867696,0.268,15.111
Asia,Turkey,85341248,101492,16219497,0.1189,19.0055
Europe,Spain,47558632,120189,13842427,0.2527,29.106
Oceania,Australia,26177410,18920,11377347,0.0723,43.4625
Asia,Vietnam,98186856,43190,10967885,0.044,11.1704
South America,Argentina,45510324,130458,10043308,0.2867,22.0682
Asia,Taiwan,23893396,17564,9937218,0.0735,41.5898
Europe,Netherlands,17564020,23105,8600602,0.1315,48.9672
Asia,Iran,88550568,144812,7566803,0.1635,8.5452
North America,Mexico,127504120,325819,7430926,0.2555,5.828
Asia,Indonesia,275501344,160888,6734334,0.0584,2.4444
Europe,Poland,39857144,118826,6400611,0.2981,16.0589
South America,Colombia,51874028,142296,6356468,0.2743,12.2537
Europe,Austria,8939617,21925,5879377,0.2453,65.7677
Europe,Ukraine,39701744,119143,5693110,0.3001,14.3397
Europe,Portugal,10270857,26117,5566869,0.2543,54.2006
Europe,Greece,10384972,34779,5548487,0.3349,53.428
South America,Chile,19603736,51811,5150626,0.2643,26.2737
Asia,Malaysia,33938216,36979,5041282,0.109,14.8543
Asia,Israel,9449000,12263,4795517,0.1298,50.7516
Asia,Thailand,71697024,33977,4737171,0.0474,6.6072
Europe,Belgium,11655923,33780,4708273,0.2898,40.3938
Europe,Czechia,10493990,42410,4615057,0.4041,43.9781
North America,Canada,38454328,51578,4609090,0.1341,11.9859
South America,Peru,34049588,220178,4489626,0.6466,13.1856
Europe,Switzerland,8740471,14397,4409828,0.1647,50.453
Asia,Philippines,115559008,66038,4076220,0.0571,3.5274
Africa,South Africa,59893884,102272,4042499,0.1708,6.7494
Europe,Denmark,5882259,8183,3404427,0.1391,57.8762
Europe,Romania,19659270,67675,3335131,0.3442,16.9647
Asia,Hong Kong,7488863,13445,2876130,0.1795,38.4054
Europe,Sweden,10549349,23890,2697159,0.2265,25.5671
Europe,Slovakia,5643455,20999,2667932,0.3721,47.2748
Europe,Serbia,6871547,17782,2495245,0.2588,36.3127
Asia,Iraq,44496124,25375,2465545,0.057,5.541
Asia,Singapore,5637022,1722,2222006,0.0305,39.4181
Oceania,New Zealand,5185289,2551,2208553,0.0492,42.5927
Europe,Hungary,9967304,48738,2194102,0.489,22.013
Asia,Bangladesh,171186368,29445,2037738,0.0172,1.1904
Asia,China,1425887360,86479,2023378,0.0061,0.1419
Asia,Georgia,3744385,16950,1822045,0.4527,48.6607
Asia,Jordan,11285875,14122,1747107,0.1251,15.4805
Europe,Ireland,5023108,8648,1710961,0.1722,34.0618
