continent,location,population,total_vaccinations,one_dose_vaccination_total,all_doses_vaccination_total,total_cases,one_dose_vaccination_percent
Asia,Afghanistan,41128772,12788310,11782909,11062636,209153,28.6488
Europe,Albania,2842318,3058102,1345763,1274719,334315,47.3474
Africa,Algeria,44903228,15267442,7840131,6481186,271426,17.4601
Europe,Andorra,79843,156766,57903,53492,47866,72.5211
Africa,Angola,35588996,23893345,15079129,8306664,105184,42.3702
North America,Anguilla,15877,24489,10854,10380,3904,68.363
North America,Antigua and Barbuda,93772,136512,64290,62384,9106,68.5599
South America,Argentina,45510324,114548471,41458332,34829555,10043308,91.0965
Asia,Armenia,2780472,2150112,1129669,985807,446332,40.6287
North America,Aruba,106459,174366,90263,84103,44145,84.7866
Oceania,Australia,26177410,63681652,22236698,21654488,11347698,84.9461
Europe,Austria,8939617,20263306,6895915,6822860,5866420,77.1388
Asia,Azerbaijan,10358078,13857111,5373253,4862494,828358,51.875
North America,Bahamas,409989,364701,174147,165633,37491,42.476
Asia,Bahrain,1472237,3476633,1241174,1226796,704738,84.3053
Asia,Bangladesh,171186368,354528591,151147043,136784348,2037738,88.2939
North America,Barbados,281646,381633,163833,155010,106434,58.1698
Europe,Belarus,9534956,19047714,6528944,6410767,994037,68.4738
Europe,Belgium,11655923,29620722,9265481,9167861,4708273,79.4916
North America,Belize,405285,502178,251903,221347,70740,62.1545
Africa,Benin,13352864,4232541,3697190,2742837,27990,27.6884
North America,Bermuda,64207,132042,48554,47657,18791,75.621
Asia,Bhutan,782457,2011426,699116,677669,62611,89.3488
South America,Bolivia,12224114,14690530,7361008,6160585,1192204,60.2171
North America,Bonaire Sint Eustatius and Saba,27052,35845,19109,16736,11797,70.638
Europe,Bosnia and Herzegovina,3233530,1924950,943394,846080,401527,29.1754
Africa,Botswana,2630300,3171667,1702713,1439323,329662,64.7346
South America,Brazil,215313504,484446127,189171452,175723112,36987682,87.8586
North America,British Virgin Islands,31332,41453,19466,18261,7305,62.1282
Asia,Brunei,449002,1288317,450849,446431,277441,100.4114
Europe,Bulgaria,6781955,4608299,2106404,2075892,1296299,31.0589
Africa,Burkina Faso,22673764,5117982,4366726,3335753,22056,19.2589
Africa,Burundi,12889583,33929,32416,31825,53609,0.2515
Asia,Cambodia,16767851,46255868,15259061,14620423,138708,91.0019
Africa,Cameroon,27914542,4259154,3666816,3323604,124328,13.1359
North America,Canada,38454328,96956502,34763194,31762130,4593129,90.4013
Africa,Cape Verde,593162,859940,356734,308720,63239,60.1411
North America,Cayman Islands,68722,150816,61859,60589,31472,90.0134
Africa,Central African Republic,5579148,2535002,2292088,2176684,15368,41.0831
Africa,Chad,17723312,6367671,6228631,3625087,7675,35.1437
South America,Chile,19603736,62688847,18088517,17700117,5150626,92.2708
Asia,China,1425887360,3491077000,1310292000,1276760000,2023904,91.8931
South America,Colombia,51874028,90210929,42959468,36948604,6356468,82.815
Africa,Comoros,836783,835021,438825,397080,8997,52.4419
Africa,Congo,5970430,833210,695760,654119,25375,11.6534
Oceania,Cook Islands,17032,40854,15112,14728,7020,88.7271
North America,Costa Rica,5180836,12778229,4605172,4314443,1194584,88.8886
Africa,Cote d'Ivoire,28160548,24416782,13441295,12043609,88114,47.7309
